Наименование,Област,Община,Населено място,Адрес,Управител,Телефон,lat,lng,provider,display_name,quality_score
ДКЦ-2-Добрич ЕООД,Добрич,КАВАРНА,Каварна,ул. Васил Левски 36,"Д-Р ВАЛЕРИ ВЕСЕЛИНОВ ТОДОРОВ, СИЛВИЯ ГЕОРГИЕВА ДЕМИРЕВА-ТРИФОНОВА","602-257,600-854",43.4249221,28.3394057,nominatim_free,"МБАЛ Каварна, 36, Васил Левски, Каварна, Добрич, 9650, България",100
ДКЦ-2-Добрич ЕООД,Добрич,БАЛЧИК,Балчик,ул. д-р Златко Петков 1,"Д-Р ВАЛЕРИ ВЕСЕЛИНОВ ТОДОРОВ, СИЛВИЯ ГЕОРГИЕВА ДЕМИРЕВА-ТРИФОНОВА","602-257,600-854",43.4096568,28.163484,nominatim_free,"Д-р Златко Петков, Хоризонт, Балчик, Добрич, 9601, България",95
ДКЦ-2-Добрич ЕООД,Добрич,ДОБРИЧ-ГРАД,Добрич,бул. 25-ти септември 68,"Д-Р ВАЛЕРИ ВЕСЕЛИНОВ ТОДОРОВ, СИЛВИЯ ГЕОРГИЕВА ДЕМИРЕВА-ТРИФОНОВА, АНЕЛИЯ ГЕОРГИЕВА КОЛАРОВА-КИСЬОВА","602-257,600-854",43.5776089,27.8287398,nominatim_free,"2 ДКЦ, 68, бул. 25-ти Септември, ж.к. Север 1, Добрич, 9300, България",80
ДКЦ-I-Добрич ЕООД,Добрич,ДОБРИЧ-ГРАД,Добрич,ул. Димитър Петков 3,"Д-Р БИСЕРКА АТАНАСОВА ПАЧОЛОВА-ЦЕНОВА, ВЕЛИНА ГЕОРГИЕВА КОМАРЕВА-ИВАНОВА, МАРИЯН ИВАНОВ АНАНИЕВ, ДИАНА ПЕТРОВА АРАБАДЖИЕВА-ДИМИТРОВА","601-474,0878711458,601-610,602-776",43.5708393,27.8317868,nominatim_free,"Димитър Петков, ЦГЧ, Добрич, 9300, България",95
МБАЛ - Ботевград ЕООД,София - област,БОТЕВГРАД,Ботевград,ул. Божко Божилов 1,"Д-Р ДИЛЯН ДОБРЕВ ТОМОВСКИ, МАРГАРИТА ТОДОРОВА СТОЕВА, Д-Р ФИЛИП ПЕТРОВ ФИЛЕВ, Д-Р КРАСИМИР ПАВЛОВ КУШЕВ, ПЛАМЕН КИРИЛОВ КИТАНОВ, ИВАН ДИМИТРОВ БАГЕЛЕЙСКИ, ОРЛИН ВЕСЕЛИНОВ ЦВЕТКОВ","072369400,072369401",42.9079346,23.8013184,nominatim_free,"МБАЛ, 1, Божко Божилов, ж.к. Васил Левски, Ботевград, Софийска, 2140, България",100
МБАЛ - Пирдоп АД,София - област,ПИРДОП,Пирдоп,ул. Георги Бенковски 24,"Д-Р ЮЛИЯ ДИМИТРОВА ИЛИЕВА, СОФИ ВЛАДИМИРОВ ДИНЧЕВ, СВЕТОСЛАВ ГЕОРГИЕВ ЧЕРВЕНКОВ, Д-Р ИВАН ВАСИЛЕВ ДИНЕВ, ЛЮБОМИР КОНСТАНТИНОВ ВАСЕВ, ИРИНА РАШКОВА ПАВЛОВА, Г-ЖА ТАТЯНА СПАСОВА КОНЯРСКА, Д-Р ДЕСИСЛАВА ДИМИТРОВА ТОЛИНОВА, ДАНИЕЛА ПЕТРОВА МИРКОВСКА, Д-Р МАРГАРИТА ИВАНОВА ГЕТОВА","0878632701,0886610805,0878632715,07181/5631,0878632731,0878632768",42.7017651,24.1691711,nominatim_free,"МБАЛ Пирдоп, 24, Георги Бенковски, Пирдоп, Софийска, 2070, България",100
МБАЛ - Самоков ЕООД,София - област,САМОКОВ,Самоков,ул. Македония 49,"Д-Р КРАСИМИРА АРАНГЕЛОВА КОВАЧКА, Д-Р СВЕТЛА КИРИЛОВА СКЕЛИНА","072266413,072289266",42.3360306,23.552102,nominatim_free,"МБАЛ Самоков, 49, Македония, Самоков, Софийска, 2000, България",90
МБАЛ - Скин Системс ООД,София - област,ПИРДОП,Пирдоп,ул. Георги Бенковски 24,"Д-Р СПАРТАК СТОЯНОВ МИЛЕВ, Д-Р КАТРИН КОСТАДИНОВА КРАХТОВА-НАСТЕВА","0888707040,0895125771",42.7017651,24.1691711,nominatim_free,"МБАЛ Пирдоп, 24, Георги Бенковски, Пирдоп, Софийска, 2070, България",100
МБАЛ - Скин Системс ООД,София - област,ЕЛИН ПЕЛИН,Елин Пелин,ул. Здравец 15,"Д-Р СПАРТАК СТОЯНОВ МИЛЕВ, Д-Р КАТРИН КОСТАДИНOVA КРАХТОВА-НАСТЕВА","0888707040,0895125771",42.66407,23.6006812,nominatim_free,"МБАЛ Елин Пелин, 15, улица Здравец, Елин Пелин, Софийска, 2100, България",90
МБАЛ-Елин Пелин ЕООД,София - област,ЕЛИН ПЕЛИН,Елин Пелин,ул. Здравец 15,"Д-Р МАЯ МЕТОДИЕВА МИКОВА-ЛУКАНОВА, МАРИЯНА АТАНАСОВА МАНОЛОВА","072560152,0887334797",42.66407,23.6006812,nominatim_free,"МБАЛ Елин Пелин, 15, улица Здравец, Елин Пелин, Софийска, 2100, България",90
МБАЛ-Каварна ЕООД,Добрич,КАВАРНА,Каварна,ул. Васил Левски 36,"ЦВЕТАНКА ИЛИЕВА ДИМИТРОВА, ГЕОРГИ ИВАНОВ ДОНЕВ, ЖИВКО ИВАНОВ ЖЕКОВ, ДЕСИСЛАВ ПЕТРОВ ТАСКОВ, ХАМЗА ВЕЛИЕВ АЛИЕВ, Д-Р ХРИСТИЯН ПЕТРОВ ЗАФИРОВ","0570/83161,0887/991099",43.4249221,28.3394057,nominatim_free,"МБАЛ Каварна, 36, Васил Левски, Каварна, Добрич, 9650, България",100
МБАЛ-Проф. Д-р Параскев Стоянов-АД Ловеч,Ловеч,ЛОВЕЧ,Ловеч,ул. Съйко Съев 27,"ВИКТОР ЕМИЛОВ ТАСЛАКОВ, ТИХОМИР ИВАНОВ БЕНЕВ, ТАТЯНА ГАНЧЕВА БОРИСОВА, Д-Р АНКА ГЕОРГИЕВА АНГЕЛОВА, РУМЯНА ПЕТРОВА НАНОВСКА, АЛДИН ДОЧЕВ НАЧКОВ, ЯНКО ВАСИЛЕВ КОЧЕВ","068/667444,068/603370,068/603371,0895728203,0878792666",43.1326475,24.7063141,nominatim_free,"Многопрофилна болница за активно лечение Проф. Д-р. Параскев Стоянов - Ловеч, 27, Съйко Съев, ж.к. Младост, Ловеч, 5500, България",100
МБАЛ-Своге ЕООД,София - област,СВОГЕ,Своге,ул. Староселска 4,"Д-Р ЛЮБИЦА ИВАНОВА ТОМЧЕВА, ПЛАМЕН КИРИЛОВ КИТАНОВ, ПЕТЯ ИВАНОВА ТОМОВА","0878199647,072622577,0886839753,0726/2577,0726/2174",42.9641771,23.3401984,nominatim_free,"МБАЛ Своге, 4, Староселска, кв. Свиново, кв. Старо село, Своге, Софийска, 2260, България",90
МЕДИЦИНСКИ ЦЕНТЪР ЗА СПЕЦИАЛИЗИРАНА МЕДИЦИНСКА ПОМОЩ - ВИЗУС ООД,Велико Търново,ГОРНА ОРЯХОВИЦА,Горна Оряховица,ул. Хан Крум 5,"СОФИЯ ЦЕЦКОВА ЦВЕТАНОВА-ДИМИТРОВА, ПЕТЯ ИВАНОВА ЦВЕТАНОВА, ПЕТЯ ЦВЕТАНОВА",061864053,43.1230999,25.68658,nominatim_free,"Хан Крум, ж.к. Пролет, Горна Оряховица, Велико Търново, 5100, България",85
МЕДИЦИНСКИ ЦЕНТЪР ЗА СПЕЦИАЛИЗИРАНА ПОМОЩ Д-Р ИВАНОВИ - МЛАДОСТ ООД,Бургас,БУРГАС,Бургас,ул. Александровска 87,Д-Р МЕТОДИ ПЕТКОВ ИВАНОВ,"0896/660772,056/859850,0896777170",42.4957333,27.4716398,nominatim_free,"87, Александровска, Централна градска част, Бургас, 8000, България",90
МЕДИЦИНСКИ ЦЕНТЪР ЗА СПЕЦИАЛИЗИРАНА ПОМОЩ Д-Р ИВАНОВИ - МЛАДОСТ ООД,Бургас,БУРГАС,Бургас,ул. Александровска 78,Д-Р МЕТОДИ ПЕТКОВ ИВАНОВ,"0896/660772,056/859850,0896777170",42.4991611,27.4699686,nominatim_free,"78, Александровска, ж.к. Братя Миладинови, Бургас, 8000, България",90
МЕДИЦИНСКИ ЦЕНТЪР УРОЛОДЖИЯ ЕООД,Хасково,ХАСКОВО,Хасково,ул. Средна Гора 1,ИВАН НИКОЛАЕВ НИКОЛОВ,0888360636,41.93602,25.5541355,nominatim_free,"1, Средна Гора, ж.к. Дружба 1, Хасково, 6300, България",100
МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ - ХАРМАНЛИ ЕООД,Хасково,ХАРМАНЛИ,Харманли,ул. Васил Левски 66,"Д-Р ЗЛАТКА ГЕОРГИЕВА ЧАНКОВА, ДИНЧО ГЕНЕВ ГЕНЕВ, ВОЛОДИ ХРИСТОВ ХРИСТОВ",0373/82189,41.9238475,25.9000459,nominatim_free,"66А, Васил Левски, Харманли, Хасково, 6450, България",100
МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ ХИГИЯ ООД,Хасково,ХАСКОВО,Хасково,ул. Стефан Стамболов 2,"ЯСЕН ГЕОРГИЕВ ЯНЕВ, АТАНАС ПАУНОВ ПАУНОВ, ПЛАМЕН ХРИСТОВ ЙОВЧЕВ","038606231,622535",41.9351081,25.5636784,nominatim_free,"ПМГ ""Акад. Боян Петканчин"", 2, Стефан Стамболов, ж.к. Възраждане, Хасково, 6300, България",100
МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ - ХАСКОВО АД,Хасково,ХАСКОВО,Хасково,бул. Съединение 49,"ГЕОРГИ НИКОЛОВ ГЕЛОВ, ДИМИТЪР ГЕОРГИЕВ ШОПОВ, ТОДОР ДИМИТРОВ ПАНДОВ, СЛАВЧО СОТИРОВ БЛИЗНАКОВ","038/606722,038/606999",41.9338216,25.5663365,nominatim_free,"49, бул. Съединение, Източна индустриална зона, ж.к. Изгрев, Хасково, 6300, България",90
МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ-ПОМОРИЕ ЕООД,Бургас,ПОМОРИЕ,Поморие,ул. Проф.Парашкев Стоянов 1,"ЦВЕТОМИР ЦВЕТКОВ, ЦВЕТОМИР КИРКОВ ЦВЕТКОВ, АЛЕКСАНДЪР ГРИГОРОВ КРЪСТАНОВ, РАДОСТИН АТАНАСОВ ИВАНОВ, ЖЕНЯ НЕДЕЛЧЕВА КАРАИЛИЕВА-ГЕОРГИЕВА, Д-Р КИРИЛ АСЕНОВ ХИНОВ, ИЛКО ТОДОРОВ ИЛЧЕВ","0882420145,0596/22730,0877/276225,0887/215743",42.5736185,27.6344355,nominatim_free,"Професор Парашкев Стоянов, кв. Свобода, Поморие, Бургас, 8201, България",85
Многопрофилна болница за активно лечение Кардиолайф ООД,Ловеч,ЛОВЕЧ,Ловеч,бул. Мизия 5,"ТИХОМИР ИВАНОВ БЕНЕВ, ИЛИЯНА МАРИНОВА КОСТОВА, Д-Р ГАЛИНА ВИДОЛОВА БАЛАБАНОВА","068/602844,0897001041",43.1570943,24.7162691,nominatim_free,"5, бул. Мизия, ж.к. Здравец, Ловеч, 5500, България",90
ОЧЕН МЕДИЦИНСКИ ЦЕНТЪР ХАСКОВО ООД,Хасково,ХАСКОВО,Хасково,ул. Георги Кирков 24,ПРОФ. Д-Р ДИМИТЪР НИКОЛОВ ДЖЕЛЕБОВ,042601460,41.9362141,25.5540806,nominatim_free,"24, Георги Кирков, ж.к. Дружба 1, Хасково, 6300, България",100
ОЧЕН МЕДИЦИНСКИ ЦЕНТЪР ХАСКОВО ООД,Хасково,ХАСКОВО,Хасково,ул. Хаджи Димитър 2,ПРОФ. Д-Р ДИМИТЪР НИКОЛОВ ДЖЕЛЕБОВ,042601460,41.9334369,25.5546272,nominatim_free,"2, Хаджи Димитър, Хасково център, Хасково, 6300, България",100
ОЧЕН МЕДИЦИНСКИ ЦЕНТЪР ХАСКОВО ООД,Хасково,ДИМИТРОВГРАД,Димитровград,бул. България 2,ПРОФ. Д-Р ДИМИТЪР НИКОЛОВ ДЖЕЛЕБОВ,042601460,42.056563,25.592106,nominatim_free,"2, България, кв. Славянски, Димитровград, Хасково, 6400, България",100
СБАЛББ-Троян ЕООД,Ловеч,ТРОЯН,Троян,ул. Васил Левски 253,ЦВЕТОМИЛА ВАСИЛЕВА ДУДЕВСКА-ВАЧЕВСКА,0670/64985,42.897565,24.7110784,nominatim_free,"Специализирана болница за активно лечение на белодробни болести - Троян, 253, Васил Левски, ж.к. Младост, Троян, Ловеч, 5600, България",100
СБАЛОЗ -София област ЕООД,София (столица),ГР.СОФИЯ,София,Бул. Столетов 67,"ЯНКО ВАСИЛЕВ КОЧЕВ, Д-Р ПЛАМЕН ТРАЙЧЕВ ИВАНОВ, Д-Р ДИАНА ЙОРДАНОВА НЕДЯЛКОВА",028013923,42.7131935,23.3120729,nominatim_free,"МБАЛ „Княгиня Клементина“ - София ЕАД, 67А, бул. Ген. Столетов, ж.к. Банишора, София, Сердика, Столична, София-град, 1233, България",90
СБАЛПФЗ - София област ЕООД,София (столица),ГР.СОФИЯ,София,бул. Сливница 309,"Д-Р КИРИЛ РАШКОВ ПАЛАВЕЕВ, Д-Р ВЕЛИЧКО ДИМИТРОВ МАРИНОВ","0899247939,029312353",42.7061437,23.3333538,nominatim_free,"309, бул. Сливница, Център, София, Сердика, Столична, София-град, 1202, България",90
СБПЛР-Костенец ЕООД,София - област,КОСТЕНЕЦ,Костенец,ул. Цариградско шосе 56,Д-Р МАРИЯ АНГЕЛОВА ХРИСТОСКОВА-ЯНКОВА,0889306197,42.3071146,23.8620728,nominatim_free,"56, Цариградско шосе, кв. Чавдарци, Костенец, Долна Василица, Костенец, Софийска, 2030, България",100
СПЕЦИАЛИЗИРАНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ ПО ОНКОЛОГИЯ - ХАСКОВО ЕООД,Хасково,ХАСКОВО,Хасково,бул. Съединение 49,"МАТЕЙ АСЕНОВ МАТЕЕВ, Д-Р ВЕНКО ИВАНОВ БАЛАБАНОВ, Д-Р ЛЮБОМИР ВЪЛКОВ ВАСИЛЕВ, ИВАН ТОДОРОВ ИВАНОВ",038664373,41.9338216,25.5663365,nominatim_free,"49, бул. Съединение, Източна индустриална зона, ж.к. Изгрев, Хасково, 6300, България",90
СПЕЦИАЛИЗИРАНА БОЛНИЦА ЗА РЕХАБИЛИТАЦИЯ НЕСЕБЪР АД,Бургас,НЕСЕБЪР,Несебър,ул. Хан Крум 31,"Д-Р ПЛАМЕН МИХАЙЛОВ ЛАКОВ, Д-Р ЦВЕТАН ДИМИТРОВ ГЕРГОВ, ГЕОРГИ КОЛЕВ КОЛЕВ, Д-Р ГАЛИНА ТРУФАНОВА КЪРЧЕВА, НИКОЛАЙ ГЕОРГИЕВ КОЛЕВ","0876/022232,0554/30123",42.6594144,27.7279799,nominatim_free,"Хан Крум, кв. Христо Кудев, Несебър, Бургас, 8231, България",85
СПЕЦИАЛИЗИРАНА БОЛНИЦА ЗА РЕХАБИЛИТАЦИЯ НЕСЕБЪР АД,Бургас,НЕСЕБЪР,Несебър,кв. Перла 20,"Д-Р ПЛАМЕН МИХАЙЛОВ ЛАКОВ, Д-Р ЦВЕТАН ДИМИТРОВ ГЕРГОВ, ГЕОРГИ КОЛЕВ КОЛЕВ, Д-Р ГАЛИНА ТРУФАНOVA КЪРЧЕВА, НИКОЛАЙ ГЕОРГИЕВ КОЛЕВ","0876/022232,0554/30123",42.6576036,27.7031646,nominatim_free,"20, Kv. Cherno More 2, кв. Черно море, Несебър, Бургас, 8230, България",80
СПЕЦИАЛИЗИРАНА БОЛНИЦА ЗА РЕХАБИЛИТАЦИЯ АЙЛИН ЕООД,Хасково,МИНЕРАЛНИ БАНИ,Минерални Бани,ул. Любен Каравелов 8,АНЕЛИЯ ТОДОРОВА ТЕНЧЕВА,037389129,41.9373737,25.3468274,nominatim_free,"Айлин, 8, Любен Каравелов, Минерални бани, Хасково, 6343, България",100
УНИВЕРСИТЕТСКА МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ СВЕТА МАРИНА-ПЛЕВЕН ООД,Плевен,ПЛЕВЕН,Плевен,ул. Цар Симеон 23,"ИВАЛЕНА МИНКОВА ВАСИЛЕВА, ПРОФ.Д-Р ГРИГОР АНГЕЛОВ ГОРЧЕВ","064/805313,064/805666",43.6472778,24.6926315,nominatim_free,"23, Цар Симеон, Гулянци, Плевен, България",90
УНИВЕРСИТЕТСКА МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ ДЕВА МАРИЯ ЕООД,Бургас,БУРГАС,Бургас,ул. Александър Стамболийски 32,"Д-Р ХРИСТО КРЪСТЕВ ЯКИМОВ, ДАНИЕЛА ПРОДАНОВА БОЗДУКОВА, ДИМИТЪР ЕСЕНОВ ИЛИЕВ, СТЕФАН ИВАНОВ КАСАБОВ, ГЕОРГИ МАРИНОВ ГЕОРГИЕВ, Д-Р СНЕЖА ЗГУРОВА СТРАНДЖЕВА, ХРИСТО ДОБРЕВ ДОБРЕВ","056/896273,056/896262,0884/257744",42.4958066,27.465197,nominatim_free,"32, Александър Стамболийски, ж.к. Възраждане, Бургас, 8000, България",100
ЦЕНТЪР ЗА КОЖНО-ВЕНЕРИЧЕСКИ ЗАБОЛЯВАНИЯ-ВЕЛИКО ТЪРНОВО ЕООД,Велико Търново,ВЕЛИКО ТЪРНОВО,Велико Търново,ул. Бузлуджа 1,"ТЕОДОРА ЦЕКОВА ЧОЛАКОВА, РУМЯНА СТОЯНОВА АНДРЕЕВА, СИЛВИЯ ДИМОВА ГОРАНОВА","062/623598,062/622110",43.1095857,25.7137869,nominatim_free,"Бузлуджа, Лясковец, Велико Търново, 5140, България",85
АМЦСМП Очна клиника Света Петка АД,Варна,ВАРНА,Варна,ул. Проф. д-р Георги Георгиев 4,Д-Р ТОШО ВОЙЧЕВ МИТОВ,"052611130,052611131",43.2262847,27.9333361,nominatim_free,"Очна клиника ""Св. Петка"", 4, Проф. д-р Георги Георгиев, м-т Сотира, Варна, Приморски, Варна, 9000, България",100
АМЦСМП Очна клиника Света Петка АД,Варна,ВАРНА,Варна,ул. Иван Драсов 12,Д-Р ТОШО ВОЙЧЕВ МИТОВ,"052611130,052611131",43.20975,27.9161888,nominatim_free,"12, Иван Драсов, Гръцката махала, Център, Варна, Одесос, Варна, 9000, България",100
АМЦСМП СВЕТА ПЕТКА ООД,Варна,ВАРНА,Варна,ул. Иван Драсов 12,ДОЦ. Д-Р ТОШО ВОЙЧЕВ МИТОВ,"052611130,052611131",43.20975,27.9161888,nominatim_free,"12, Иван Драсов, Гръцката махала, Център, Варна, Одесос, Варна, 9000, България",100
АМЦСМП СВЕТА ПЕТКА ООД,Варна,ВАРНА,Варна,ул. Проф. д-р Георги Георгиев 4,ДОЦ. Д-Р ТОШО ВОЙЧЕВ МИТОВ,"052611130,052611131",43.2262847,27.9333361,nominatim_free,"Очна клиника ""Св. Петка"", 4, Проф. д-р Георги Георгиев, м-т Сотира, Варна, Приморски, Варна, 9000, България",100
АМЦСМП СВЕТА ПЕТКА ООД,Варна,ВАРНА,Варна,бул. Сливница 40,ДОЦ. Д-Р ТОШО ВОЙЧЕВ МИТОВ,"052611130,052611131",43.2082043,27.9159574,nominatim_free,"40, бул. Сливница, 4-ти микрорайон, Варна, Одесос, Варна, 9000, България",90
АМЦСМП Света Петка Ай Кеър ЕООД,Варна,ВАРНА,Варна,ул. Иван Драсов 10А,ДОЦ. Д-Р ТОШО ВОЙЧЕВ МИТОВ,"052611130,052611131",43.2097098,27.9159466,nominatim_free,"10a, Иван Драсов, Гръцката махала, Център, Варна, Одесос, Варна, 9000, България",80
