Наименование,Област,Община,Населено място,Адрес,Управител,Телефон
"МБАЛ ЛОЗЕНЕЦ ЕАД","София (столица)","СОФИЯ 09 рн ЛОЗЕНЕЦ","СОФИЯ 09 рн ЛОЗЕНЕЦ","УЛ. КОЗЯК № 1","ДОЦ. Д-Р РАДОСВЕТ ПЕТРОВ ГОРНЕВ, Д-Р ХРИСТО ВАЛЕНТИНОВ СТОЯНОВ, Д-Р ОЛГА ВЛАДИМИРОВА МИЦОВА - МАСЛАРОВА","9607607"
"МБАЛ ЛЮЛИН ЕАД СОФИЯ","София (столица)","СОФИЯ 19 рн ЛЮЛИН","СОФИЯ 19 рн ЛЮЛИН","ж.к. Люлин-6 бул. Д-р Петър Дертлиев № 81и № 90, ул. Ал. Пушкин № 71","Д-Р АНГЕЛ ЛЮБЕНОВ ПОПОВ, Д-Р ГЕОРГИ МИХАЙЛОВ ГЕОРГИЕВ","02/8108906,02/8108909"
"МБАЛ Луковит ЕООД","Ловеч","ЛУКОВИТ","ГР.ЛУКОВИТ","Княз Борис І 52","ИВАН ГЕНОВ ИВАНОВ, ГАЛИНА ЛЮБЕНОВА СТОЯНОВА","0697/54086,0894792010"
"МБАЛ МК Свети Иван Рилски ЕООД Пловдив","Пловдив","ПЛОВДИВ","ГР.ПЛОВДИВ","бул.В.Левски 144 А-А","Д-Р НИКОЛАЙ НЕШЕВ САЛУТСКИ","032/674113,032/674112"
"МБАЛ Майчин дом-Варна ЕООД","Варна","ВАРНА","ГР.ВАРНА","ул. Мир №1","Д-Р МАКСИМ ИСАК ЯКОВ","052/383850,052/383858"
"МБАЛ Мед Лайн Клиник АД Пловдив","Пловдив","ПЛОВДИВ","ПЛОВДИВ 1 р-н ЦЕНТРАЛЕН","ул. Филип Македонски №37","ПРОФ. НЕВЕН ЕНЧЕВ ФОН ГОЛДЕНБУРГ","032960699,0878656684"
"МБАЛ Медицински комплекс Свети Иван Рилски ЕООД клон гр. Стара Загора","Стара Загора","СТАРА ЗАГОРА","ГР.СТАРА ЗАГОРА","ул. Герасим Папазчев №1","Д-Р НИКОЛАЙ НЕШЕВ САЛУТСКИ, Д-Р КИРИЛ ДОБРЕВ ДОБРЕВ","042/909402"
"МБАЛ Мездра ЕООД","Враца","МЕЗДРА","ГР.МЕЗДРА","ул. Янко Сакъзов №33","СВЕТОЗАР БОРИСОВ ЛУКАНОВ, Д-Р ИЛИАНА ЙОРДАНОВА МИХАЙЛОВА-ТИХОЛОВА, Д-Р ПЕТЬО ВАСИЛЕВ ВЪЛЧЕВ, Д-Р СОНЯ ДИМИТРОВА СЪБОТИНОВА","0877000070,0886596577,0910/92415,0910/92600"
"МБАЛ НКБ ЕАД СОФИЯ","София (столица)","СОФИЯ 12 рн ИЛИНДЕН","СОФИЯ 12 рн ИЛИНДЕН","гр.София район Илинден ул. Коньовица № 65 и гр. Банкя, ул. Шейново № 4","РОСЕН ВАНЕВ ПЕТКОВ, ДОЦ. Д-Р ВЛАДИМИР БОРИСОВ ПИЛОСОФ, ПРОФ. Д-Р МАРИО ДРАГАНОВ СТАНКЕВ, КРАСИМИР РОСЕНОВ ДЖИНСОВ","8221582,9211410"
"МБАЛ Ниамед ООД гр. Стара Загора","Стара Загора","СТАРА ЗАГОРА","ГР.СТАРА ЗАГОРА","ул. Стефан Стамболов № 29","Д-Р НИКОЛАЙ ГЕОРГИЕВ ХРИСТОВ, ИВАН ДИНЕВ ИВАНОВ, СЕВДАЛИНКА ДИМИТРОВА ПЕНЧЕВА, Д-Р МАРИЯ ИВАНОВА АПОСТОЛОВА","042/611611,042/611610"
"МБАЛ ПОЛИМЕД ООД СОФИЯ","София (столица)","СОФИЯ 03 рн ВЪЗРАЖДАНЕ","СОФИЯ 03 рн ВЪЗРАЖДАНЕ","гр.София 1303, р-н Възраждане, ул. Брегалница № 47","Д-Р ЦВЕТАН ДИМОВ ДИМАНОВ, ВЕНЦИСЛАВ ЙОРДАНОВ ДИМОВ, ЙОРДАН ГЕОРГИЕВ ПЕЙЧЕВ","8157931"
"МБАЛ ПРОФ ДИМИТЪР РАНЕВ ООД","Пазарджик","ПЕЩЕРА","ГР.ПЕЩЕРА","ул. Д-р Петър Цикалов №41; ул. Нешо Чипев №1","СТОИЛ ГЕОРГИЕВ АПОСТОЛОВ, ВЛАДИМИР ДИМИТРОВ ЩЕРЕВ, СТОИЛ ГЕОРГИЕВ АПОСТОЛОВ","0350/62021,0350/62022,0350/60061"
"МБАЛ Павликени ЕООД","Велико Търново","ПАВЛИКЕНИ","ГР.ПАВЛИКЕНИ","ул. Васил Петлешков № 2","Д-Р РЕНЕТА НИКОЛОВА КРЪСТЕВА","0882373777"
"МБАЛ Проф. Д-р Асен Шопов ЕООД","Смолян","ЗЛАТОГРАД","ГР.ЗЛАТОГРАД","ул. Хан Аспарух № 21","ЛЮДМИЛ СИМЕОНОВ ЛИЧЕВ, ВЕЛИН МИТКОВ ДЕНЕВ, Д-Р ЕРОЛ РЕДЖЕБ ЧИНАР, Д-Р ЛЮДМИЛ СИМЕОНОВ ЛИЧЕВ, ЕРОЛ РЕДЖЕБ ЧИНАР","03071/2021,03071/4112,030712537"
"МБАЛ Проф. Д-р Константин Чилов ЕООД","Смолян","МАДАН","ГР.МАДАН","ул. Перелик № 9","СТЕФАН АСЕНОВ ХАДЖИЕВ","0308/98902,0887227102"
"МБАЛ Пулс АД","Благоевград","БЛАГОЕВГРАД","ГР. БЛАГОЕВГРАД","УЛ. СЛАВЯНСКА №62","ДОБРОМИР ИЛИЕВ ИЛКОВСКИ","073/882020,073/870900"
"МБАЛ Р.Ангелова АД","Перник","ПЕРНИК","ГР.ПЕРНИК","ул. Брезник №2","СИМЕОН ВАСИЛЕВ СИМЕОНОВ, ЛЮДМИЛ СТАНКОВ НИКОЛОВ, ВЯРА МИХАЙЛОВА ЦЕРОВСКА, ИВАН ГЕОРГИЕВ ЕВЛОГИЕВ, АНАТОЛИ ВЕРЧОВ МИТОВ, ВАЛЕРИ ИВАНОВ ДИМИТРОВ, АНАТОЛИ ВЕРЧОВ МИТОВ, ЕМИЛ ЕМИЛОВ НЕНКОВ, ЯВОР НИКОЛАЕВ ДРЕНСКИ","076/601360"
"МБАЛ СВ. АННА - СОФИЯ АД","София (столица)","СОФИЯ 15 рн МЛАДОСТ","СОФИЯ 15 рн МЛАДОСТ","Ж.К. МЛАДОСТ 1 УЛ. ДИМИТЪР МОЛЛОВ № 1","Д-Р СЛАВЧО СОТИРОВ БЛИЗНАКОВ, ДИМИТЪР ВЪЛЧИНОВ ДИМИТРОВ","9759000"
"МБАЛ СВ. БОГОРОДИЦА ЕООД СОФИЯ","София (столица)","СОФИЯ 04 рн ОБОРИЩЕ","СОФИЯ 04 рн ОБОРИЩЕ","Тракия № 46","Д-Р ИЛИЯ ИЛИЕВ КАЛЧЕВ, Д-Р НИКОЛАЙ ЛЮБЕНОВ БОЛТАДЖИЕВ","8462016,8438921"
"МБАЛ СВ. ЙОАН РИЛСКИ ООД","Ямбол","ЯМБОЛ","ГР.ЯМБОЛ","ул. Българка 2","АНТОАНЕТА СЛАВЧЕВА АНТОНОВА-МАРИНОВА, ИБРЯМ АЛИЕВ МУСТАФОВ, ВЛАДИМИР КОЙЧЕВ ДЕМИРЕВ, НУРТЕН ОСМАНОВА ШЕКЕРОВА","046633031,046633032,046633033"
"МБАЛ СВ. ПАНТАЛЕЙМОН СОФИЯ АД","София (столица)","СОФИЯ 15 рн МЛАДОСТ","СОФИЯ 15 рн МЛАДОСТ","бул. Александър Малинов № 63","ТАНЬО ИВАНОВ СЕЧАНОВ","9741000,9744450"
"МБАЛ СВ. ПАНТЕЛЕЙМОН-ЯМБОЛ АД","Ямбол","ЯМБОЛ","ГР.ЯМБОЛ","ул. Панайот Хитов 30","ПАНАЙОТ ГРУДЕВ ДИМАНОВ, БОРИС ПЕТКОВ ЧОРБАДЖИЙСКИ, ПАНАЙОТ ГРУДЕВ ДИМАНОВ, ЛЮБОМИР ГРИГОРОВ МАРИНОВ, ПАНАЙОТ ГРУДЕВ ДИМАНОВ, ДИМИТЪР РУМЕНОВ РУНКОВ","046661530,046661541"
"МБАЛ СВ. СОФИЯ ЕООД СОФИЯ","София (столица)","СОФИЯ 17 рн ВИТОША","СОФИЯ 17 рн ВИТОША","бул. България № 104","МИГЛЕНА ТОДОРОВА МИХОВА, ХРИСТО ДИМИТРОВ МАЗНЕЙКОВ, Д-Р ХРИСТО ДИМИТРОВ МАЗНЕЙКОВ И ПРОКУРИСТ Д-Р МИХАИЛ КИРИЛОВ ЗОРТЕВ, Д-Р ВАЛЕНТИНА ИЛИЕВА МАЗНЕЙКОВА, ДЕСИСЛАВА АСЕНОВА МАЛИНОВА, Д-Р ХРИСТО ДИМИТРОВ МАЗНЕЙКОВ И ПРОКУРИСТ Д-Р МЕТОДИ ВАНГЕЛОВ ЯНКОВ","02/8184666"
"МБАЛ СВЕТА АННА-ВАРНА АД","Варна","ВАРНА","ГР.ВАРНА","БУЛ. ЦАР ОСВОБОДИТЕЛ № 100","Д-Р КРАСИМИР ПЕТРОВ ПЕТРОВ, ЖАН ЕМИЛОВ ДОРЕВСКИ, ЛИДИЯ ДУНОВА ПЕТКОВА, Д-Р ВЕСЕЛИН НИКОЛОВ ИВАНОВ, ПРОФ. Д-Р ДИКО ДРАГАНОВ БОШНАКОВ, Д-Р ГАЛЕН ДИМИТРОВ ШИВАРОВ, ИРИНА ГЕОРГИЕВА ВЕЛИНОВА, Д-Р НИКОЛАЙ ПЕТРОВ КОЛАРОВ","052/648257"
"МБАЛ СВЕТИ ГЕОРГИ ПЕРНИК ООД","София (столица)","СОФИЯ 19 рн ЛЮЛИН","СОФИЯ 19 рн ЛЮЛИН","РАЙОН СОФИЯ 19 рн ЛЮЛИН, ул. 109 -та № 19","ДОЦ. Д-Р СПАС НИКОЛОВ СПАСКОВ",""
"МБАЛ СВЕТИ ИВАН РИЛСКИ - 2003 ООД","Кюстендил","ДУПНИЦА","ГР.ДУПНИЦА","ул. Иван Вазов 26","ЕНИ МИЛЧОВ ЛЕФТЕРОВ","0701/59500"
"МБАЛ СВЕТИ ИВАН РИЛСКИ ЕООД","Ямбол","ЕЛХОВО","ГР.ЕЛХОВО","ул. Чаталджа 3","ЙОРДАНКА ЯНЕВА КИРОВА-КАРЕВА, АНГЕЛИНА КИРИЛОВА ПАРАПАНOVA, ДИМИТЪР КОЛЕВ ПОМАКОВ, ВЕСЕЛИН ДИМИТРОВ КЪНЕВ","047888081,0893650160"
"МБАЛ СЕРДИКАМЕД ЕООД","София (столица)","ГР.СОФИЯ","ГР.СОФИЯ","ул. Дамян Груев № 6","Д-Р МЕТОДИ ВАНГЕЛОВ ЯНКОВ, Д-Р МАРИЯ МЕТОДИЕВА ЯНКОВА, Д-Р ТИНКА АНГЕЛОВА ДАНЧЕВА","0888949958,02/9049100"
"МБАЛ СЕРДИКАМЕД ЕООД","София (столица)","СОФИЯ 18 рн ОВЧА КУПЕЛ","СОФИЯ 18 рн ОВЧА КУПЕЛ","База 2 жк Овча купел 2 бул. Президент Линкълн № 128; База 1 жк Овча купел 1 ул. Монтевидео № 21","Д-Р МЕТОДИ ВАНГЕЛОВ ЯНКОВ, Д-Р МАРИЯ МЕТОДИЕВА ЯНКОВА, Д-Р ТИНКА АНГЕЛОВА ДАНЧЕВА","0888949958,02/9049100"
"МБАЛ СИЛИСТРА АД","Силистра","СИЛИСТРА","ГР.СИЛИСТРА","УЛ. ПЕТЪР МУТАФЧИЕВ №80; Град ГР.СИЛИСТРА, Силистра","ВАСИЛ ГЕОРГИЕВ СЛАВОВ, ЮЛИЯН НАЙДЕНОВ НАЙДЕНОВ, ДАНИЕЛА ДИМИТРОВА КОСТАДИНОВА","086818446,086823917,086818444"
"МБАЛ Св. Иван Рилски ЕООД Горна Оряховица","Велико Търново","ГОРНА ОРЯХОВИЦА","ГР.ГОРНА ОРЯХОВИЦА","ул. Отец Паисий № 72","ИВАН ДИМИТРОВ ИВАНОВ, МИРОЛЮБ ДИМИТРОВ КОЖУХАРОВ, Д-Р ГЕОРГИ ДИМИТРОВ ВАШКОВ","0618/60701,0878746490,0618/60260/22051"
"МБАЛ Св. Иван Рилски ЕООД Козлодуй","Враца","КОЗЛОДУЙ","ГР.КОЗЛОДУЙ","ул. Св. Св. Кирил и Методий №1","НИКОЛАЙ СТЕФАНОВ ДИМОВ, Д-Р ЮЛИЯН ЙОРДАНОВ ПЪРВОЛОВ, Д-Р БИЛЯНА СИМЕОНОВА СТОЯНОВСКА, Д-Р РУМЕН СТОЯНОВ ТИХОЛОВ, Д-Р ОЛГА ТОШЕВА НИКОЛОВА, Д-Р ДИЛЯН НИКИФОРОВ ПЕТРОВ, Д-Р ПЛАМЕН ТИХОМИРОВ ПЕТРОВ, Д-Р МОМЧИЛ ДЕНЕВ ИВАНОВ, Д-Р ЕМИЛ ВИКТОРОВ ГОГОШЕВ","0973/85200,0973/80714,0973/81211,0973/85214,0878690740"
"МБАЛ Св. Иван Рилски-Разград АД","Разград","РАЗГРАД","ГР.РАЗГРАД","ул. Коста Петров №2","СТАНИМИР КРАСИМИРОВ ГЕОРГИЕВ, АНГЕЛИНА МИТКОВА ЛИТЕВА, Д-Р ИВАН ПЕТРОВ ДИМИТРОВ, Д-Р МАРИН КЕРЧЕВ КЕРЧЕВ, Д-Р МАРИН КЕРЧЕВ КЕРЧЕВ, ГЕЧО ВЪЛКОВ ЖЕКОВ, Д-Р ГЕЧО ВЪЛКОВ ЖЕКОВ, ПЕТЪР ЯНКОВ ТОДОРОВ, ТЕОДОР ИВАНОВ ГАРВАЛОВ","084624554,084624321"
"МБАЛ Света Каридад ЕАД Пловдив","Пловдив","ПЛОВДИВ","ГР.ПЛОВДИВ","бул. Никола Вапцаров № 23А; бул. Александър Стамболийски № 31, ет. 1 и ет. 2","ВАСИЛ АНГЕЛОВ АНГЕЛОВ, ЕЛЕНА ВЕЛИНОВА ХРИСТЕВА","032/396902,032/968030,032/396900"
"МБАЛ Света Петка Българска ЕООД","Сливен","НОВА ЗАГОРА","ГР.НОВА ЗАГОРА","ул. Петко Енев №1","АНТОАНЕТА ВАСИЛЕВА ИВАНОВА, БОГДАН КЪНЧЕВ БОГДАНОВ, Д-Р ДИАНА ЙОРДАНОВА МИРЧЕВА, Д-Р БОГДАН БОГДАНОВ, Д-Р НИКОЛАЙ ПЕТРОВ КОЛЕВ, Д-Р СВЕТОСЛАВ ТОДОРОВ СЛАВОВ, Д-Р ДИНКО КРЪСТЕВ ИВАНОВ, Д-Р СТАНКА НИКОЛОВА ИВАНОВА","0457/66790,0884/332100,0884/332128,0884/332133,0889/206841"
"МБАЛ Свети Георги Перник ООД","Перник","ПЕРНИК","ГР.ПЕРНИК","ул. Св. Св. Кирил и Методий № 77","ДОЦ. Д-Р СПАС НИКОЛОВ СПАСКОВ","076/632359"
"МБАЛ Свети Мина Пловдив ЕООД","Пловдив","ПЛОВДИВ","ГР.ПЛОВДИВ","ул. Иван Вазов № 59, ул. Весела № 5","Д-Р КАЛИН ХРИСТОВ КАЛИНОВ, АЛЕКСАНДЪР ТОДОРОВ АНГЕЛОВ, НАДЕЖДА АСЕНОВА КРУМОВА, БОРИС АТАНАСОВ ДЖУРДЖЕВ, ГАЛИНА КАРАУЛАНОВА, ГЕНАДИ СТРАНДЖЕВ, ПЕТЪР ХРИСТОВ ПЕТРОВ, МАРИЯ ХРИСТОСКОВА ГОРЕВА","032/654819,032/654836,032/654800"
"МБАЛ Свети Николай Чудотворец ЕООД Лом","Монтана","ЛОМ","ГР.ЛОМ","Тодор Каблешков №2","Д-Р НИКОЛАЙ ЖИКОВ ТРИФОНОВ, Д-Р ГЕОРГИ ТОМОВ САВКОВ, Д-Р ГЕОРГИ ТОМОВ САВКОВ, ИВАЙЛО ХРИСТОВ ХРИСТОВ, ВАСИЛ МИЛУТИНОВ ВАСИЛЕВ, Д-Р ГЕОРГИ ТОМОВ САВКОВ","0971/60051,0971/66035"
"МБАЛ Свети Панталеймон-Плевен ООД","Плевен","ПЛЕВЕН","ГР.ПЛЕВЕН","жк. Дружба, ул. Трите бора № 24","СОНЯ ИВАНОВА МУКОВА-АТАНАСОВА, Д-Р ЕЛИЗА ЛЮБЕНОВА ГЕОРГИЕВА, ЙОРДАН ГЕОРГИЕВ ГЕОРГИЕВ","0889321219,064/872020,0888/928686"
"МБАЛ Свети Пантелеймон Пловдив ЕООД","Пловдив","ПЛОВДИВ","ГР.ПЛОВДИВ","БУЛ. НИКОЛА ВАПЦАРОВ №9","Д-Р КОНСТАНТИН ПАВЛОВ САПУНДЖИЕВ Д.М, АНТОАНЕТА ПЕЛОВА ПЕЛОВСКА-ГЕРДЖИКОВА, МАРКО АТАНАСОВ ГУГУШЕВ, ИЛИЯ АТАНАСОВ БАТАШКИ, ПЕТКО ИВАНОВ НЕДЕВ","0884129111,032603914"
"МБАЛ Сити клиник - Свети Георги ЕООД гр. Монтана","Монтана","МОНТАНА","ГР.МОНТАНА","бул. Александър Стамболийски № 92","ВИКТОР ВАЛЕРИЕВ АПОСТОЛОВ, Д-Р ДАВИД СЪБЕВ КАРАИЛИЕВ","0898773333"
"МБАЛ ТРАКИЯ ЕООД","Стара Загора","СТАРА ЗАГОРА","ГР.СТАРА ЗАГОРА","бул. Патриарх Евтимий № 84 и ул. Дунав № 1","Д-Р ИВАН МИЛАНОВ ЗЛАТКОВ","042/988988,042/987777"
"МБАЛ ТУТРАКАН ЕООД","Силистра","ТУТРАКАН","ГР.ТУТРАКАН","УЛ. ТРАНСМАРИСКА № 101","БОГОМИЛ ПЕТРОВ БОЙЧЕВ, КРЪСТЮ МИХАЙЛОВ КРЪСТЕВ, ЛЮБОМИР ПЕТРОВ БОЙЧЕВ, НЕДКА ГЕОРГИЕВА ЦВЕТКОВА, ВЕСЕЛИН ЙОРДАНОВ ХРИСТОВ, СВЕТЛАНА ВЕЛИКОВА ПЕТКОВА","086660454,0866/61938,0857/60078,085760078,086660078"
"МБАЛ Теодоси Витанов ЕООД Трявна","Габрово","ТРЯВНА","ГР.ТРЯВНА","ул. Лясков дял № 1","ТАТЯНА СТЕФАНОВА СТАНЧЕВА, СВЕТЛА ИВАНОВА БРЪНЕКОВА","0677/62167,0677/2104"
"МБАЛ Тетевен ЕООД","Ловеч","ТЕТЕВЕН","ГР.ТЕТЕВЕН","Д.Благоев 62","МИХАИЛ НЕНОВ НИКОЛОВСКИ, МАДЛЕНА ЦВЕТАНОВА БОЯДЖИЕВА-НИЧЕВА, НЕВЕЛИНА ВАСИЛЕВА ГАНЕВА","0892602778,0678/52141"
"МБАЛ Тримонциум ООД Пловдив","Пловдив","ПЛОВДИВ","ГР.ПЛОВДИВ","ул. Крали Марко 17; ул. Цар Борис ІІІ Обединител № 126","Д-Р СВЕТОСЛАВ ИЛИЕВ ИЛИЕВ","0882351708,032/632077"
"МБАЛ Уни Хоспитал ООД","Пазарджик","ПАНАГЮРИЩЕ","ГР.ПАНАГЮРИЩЕ","УЛ. ГЕОРГИ БЕНКОВСКИ №100","ЦВЕТОЛЮБ МИТЕВ МАРИНОВ, РУМЯНА ТОДОРОВА ВЪЛКОВА, СИЛВИ КИРИЛОВ ПЕТРОВ, АНГЕЛ ПЕТРОВ ПРОДАНОВ, КРАСИМИРА СПАСОВА ЧАЧОВА-РАНЧЕВА, ЯВОР НИКОЛАЕВ ДРЕНСКИ, СНЕЖАНА ТОДОРОВА ТУХЧИЕВА, ЙОРДАН ТОДОРОВ БОЯДЖИЕВ, СТЕФАЛИН АЛЕКСАНДРОВ ПОПОВ, МАЯ ДИМИТРОВА ВЛАЙКОВА, ЛЮБОМИР ДИМИТРОВ ЙОРДАНОВ, БИЛЯНА НИКОЛАЕВА ПЕНЕВА - СТОЯНОВА, ЛУЧИЯ АЛЕКСАНДРОВА ДОБРЕВА, БОРИСЛАВ ГЕОРГИЕВ АЦЕВ, МИХАИЛ ПАНАЙОТОВ ХРИСТОВ","0357/62372,0357/67074,0357/88542"
"МБАЛ ХИГИЯ АД",Пазарджик,ПАЗАРДЖИК,ГР.ПАЗАРДЖИК,ул. Св. Иван Рилски №3,ЦВЕТЕЛИНА СТАЙКОВА СПИРИДОНОВА,
"МБАЛ ХИГИЯ-СЕВЕР ООД",Пазарджик,ПАЗАРДЖИК,ГР.ПАЗАРДЖИК,ул. Свобода №17,"ЦВЕТЕЛИНА СТАЙКОВА СПИРИДОНОВА, ГЕОРГИ ДРАГАНОВ ГЕРОВ, ГЕОРГИ ДИМИТРОВ АНДОНОВ, СТАЙКО ИВАНОВ СПИРИДОНОВ","034/446930, 034/444709, 034/446935"
"МБАЛ Хаджи Димитър ООД",Сливен,СЛИВЕН,ГР.СЛИВЕН,ул. Димитър Пехливанов №5,"Д-Р ПЕНКО МИНЧЕВ ПЕНКОВ, МИЛЕН ПЕНКОВ ПЕНКОВ, ГЕРГАНА ПЕНКОВА АЛЕКСАНДРОВА","044/618502"
"МБАЛ Хаджи Димитър ООД",Сливен,СЛИВЕН,ГР.СЛИВЕН,бул. Хаджи Димитър №19,"Д-Р ПЕНКО МИНЧЕВ ПЕНКОВ, МИЛЕН ПЕНКОВ ПЕНКОВ, ГЕРГАНА ПЕНКОВА АЛЕКСАНДРОВА","044/618502"
"МБАЛ Христо Ботев АД Враца",Враца,ОРЯХОВО,ГР.ОРЯХОВО,ул. Архитект Цолов №98,"Д-Р КЕТИ ДИТКОВА ЦЕНОВА-СРЕДКОВА, ВЛАДИСЛАВ ХРИСТОВ ИВАНОВ, ОРЛИН ВЕСЕЛИНОВ ЦВЕТКОВ, СВЕТОЗАР БОРИСОВ ЛУКАНОВ, Д-Р ПЕТЪР ЙОРДАНОВ КЕРЕМЕДЧИЕВ, ЕВГЕНИ ГЕОРГИЕВ ЛЮБЕНОВ","092/665110, 0884709012"
"МБАЛ Христо Ботев АД Враца",Враца,ВРАЦА,ГР.ВРАЦА,бул. Втори юни №66,"Д-Р КЕТИ ДИТКОВА ЦЕНОВА-СРЕДКОВА, ВЛАДИСЛАВ ХРИСТОВ ИВАНОВ, ОРЛИН ВЕСЕЛИНОВ ЦВЕТКОВ, СВЕТОЗАР БОРИСОВ ЛУКАНОВ, Д-Р ПЕТЪР ЙОРДАНОВ КЕРЕМЕДЧИЕВ, ЕВГЕНИ ГЕОРГИЕВ ЛЮБЕНОВ","092/665110, 0884709012"
"МБАЛ Царица Йоанна-Провадия ЕООД",Варна,ПРОВАДИЯ,ГР.ПРОВАДИЯ,ул. Желез Йорданов №1,"Д-Р АНТОАНЕТА ЖЕЛЯЗКОВА ГЕОРГИЕВА, АНГЕЛ АТАНАСОВ ИВАНОВ, ЕЛЕНА ЛИЛКОВА ОВЧАРОВА, Д-Р СВЕТОСЛАВ НЕДЕЛЧЕВ НЕДЕЛЧЕВ","0518/42032"
"МБАЛ Централ онко хоспитал ООД Пловдив",Пловдив,ПЛОВДИВ,ГР.ПЛОВДИВ,бул. Васил Априлов №20,"Д-Р НАДЕЖДА АСЕНОВА КРУМОВА-МИХАЙЛОВА, Д-Р ЗАПРИН ТОДОРОВ ПЕПЕОВ","032/990007, 0877734307"
"МБАЛ Юлия Вревска Бяла ЕООД",Русе,БЯЛА,ГР.БЯЛА,ул. Васил Левски №62,"ДИМИТЪР ГЕОРГИЕВ ДИМИТРОВ, ЗДРАВКА МЛАДЕНОВА АРАБАДЖИЕВА, БОТЬО ИЛИЕВ БОТЕВ","0817/71236, 0817/73504"
"МБАЛ д-р Димитър Павлович ЕООД Свищов",Велико Търново,СВИЩОВ,ГР.СВИЩОВ,ул. Петър Ангелов №18,"ИЛИЯН ВЕНКОВ ГЕОРГИЕВ, Д-Р ЛЪЧЕЗАР ИВАНОВ МИХАЙЛОВ, ГАВРАИЛ ПЕТРОВ ГЕВЕЗОВ, ЕВГЕНИЙ БОРИСОВ МИТАНОВ, ВЕНЦИСЛАВ ДИМИТРОВ МИХОВ, ПЛАМЕН ЦВЕТАНОВ ПЕЛОВ","0631/60762, 0631/60661, 0631/60732, 0631/69333"
"МБАЛ-Пловдив към ВМА София",Пловдив,ПЛОВДИВ,ГР.ПЛОВДИВ,бул. Христо Ботев №81,"АНГЕЛ ТЕОФИЛОВ ГОЗМАНОВ, АНГЕЛ ХАРАЛАМБИЕВ ПЕЕВ, АТАНАС ЙОРДАНОВ КАЛЧЕВ, ЕЛЕНА ЛЮБОМИРОВНА ОПИНЧЕВА","032/609865, 032/609878, 032/631365, 032/609800"
"МБАЛ-Раковски ЕООД",Пловдив,РАКОВСКИ,ГР.РАКОВСКИ,ул. Михаил Добромиров №1,"Д-Р ИВАН ЙОСИФОВ ТОМБАШКИ, ГЕРГАНА ТОДОРОВА МАНОЛОВА, ПЕТЪР СТОЯНОВ МУХОВСКИ","03151/2445, 03151/2197"
"МБАЛ-БЕЛЕНЕ ЕООД",Плевен,БЕЛЕНЕ,ГР.БЕЛЕНЕ,ул. Гео Милев №47,"Д-Р НАТАЛИЯ ВАСИЛЕВНА МАДОВА, ПЕТЪР ГОСПОДИНОВ, ЕВГЕНИЯ ПЕТРОВА ИВАНОВА","0658/34984, 0889311587, 0887882524"
"МБАЛ-БЕРКОВИЦА ЕООД",Монтана,БЕРКОВИЦА,ГР.БЕРКОВИЦА,ул. Александровска №65,"АТАНАС КИРИЛОВ ГЕОРГИЕВ, ИВАН ИЛИЕВ ФЛОРЕСКОВ, ГЕОРГИ ТОМОВ САВКОВ, ЮЛИЯ ВЕСЕЛИНОВА, Д-Р ПЕНКО МЛАДЕНОВ БОГДАНОВ","0953/88013, 0953/88006"
