Наименование,Област,Община,Населено място,Адрес,Управител,Телефон
"СБР НК ЕАД филиал Хисар","Пловдив","ХИСАРЯ","ГР.ХИСАРЯ","бул. “Гурко” №2","ВЕЛИЧКА НИКОЛОВА ШОПОВА, МАРИАНА БОТЕВА ТЕРЗИЙСКА, СВЕТИЯ ЙОРДАНОВ ТУЖАРОВ, ИВАН ДОНЧЕВ ДОНЧЕВ","0882805523, 03762046"
"СБР НК ЕАД Св. Мина Вършец","Монтана","ВЪРШЕЦ","ГР.ВЪРШЕЦ","Паркова зона","БОРЯНА ТОДОРОВА БОНЧЕВА-ЛЕЧЕВА, Д-Р АЛЕКСАНДЪР ИВАНОВ СЕМКОВ, Д-Р ЧЕНКО ХРИСТОВ ЧАЛЪКОВ","09527/2258"
"СБР НК ЕАД Филиал Сандански","Благоевград","САНДАНСКИ","ГР.САНДАНСКИ","УЛ. ПОЛК. ДРАНГОВ №1","СТЕФКА КОСТАДИНОВА ИВАНОВА","0746/30833, 0746/32419"
"СБР НК ЕАД филиал Баните","Смолян","БАНИТЕ","С.БАНИТЕ","ул. Стефан Стамболов № 2","ЕМИЛ САШЕВ ДИМИТРОВ, АЛЕКСИ МИТКОВ КАРОВ","03025/2342, 03025/2344, 030252257"
"СБР НК ЕАД филиал Нареченски бани","Пловдив","АСЕНОВГРАД","С.НАРЕЧЕНСКИ БАНИ","ул. „Родопи“ № 1","Д-Р АТАНАС ЛЮБОМИРОВ БУЧКОВ, ДАНКА МЕТОДИЕВА ПОПОВА","033422224"
"СБР НК ЕАД филиал Овча могила","Велико Търново","СВИЩОВ","С.ОВЧА МОГИЛА","ул. Детелина № 2","Д-Р ВИРГИНИЯ СИМЕОНОВА ЦОЛОВА","06327/2404"
"СБР ОРФЕЙ ЕООД","Смолян","ДЕВИН","ГР.ДЕВИН","ул. Цветан Зангов № 14","ЮЛИЯ БОЙКОВА КИСИМОВА","0878228867, 03041/3657"
"СБР РОДОПИ ЕООД","Смолян","РУДОЗЕМ","ГР.РУДОЗЕМ","ул. Атанас Буров № 2","ПЛАМЕН МИХАЙЛОВ ЛАКОВ, ЦВЕТАН ДИМИТРОВ ГЕРГОВ","0878485835"
"СБР Света Елена 1 ООД","Варна","ВАРНА","ГР.ВАРНА","к.к. „Св. Св. Константин и Елена”, х-л „Света Елена”, ул. „1” № 82","ПРОФ. Д-Р ПЕТКО ПЕНКОВ МАРИНОВ Д.М.","0889515100, 0899982700"
"СБР по физикална и рехабилитационна медицина Димина ООД Вонеща вода","Велико Търново","ВЕЛИКО ТЪРНОВО","С.ВОНЕЩА ВОДА","ул. Първа 1","СВЕТЛИН ДИМИТРОВ РАДЕВ, ЧЕНКО ХРИСТОВ ЧАЛЪКОВ, ДОЦ. Д-Р АНТОН СТОЯНОВ САВОВ, Д-Р ЧЕНКО ХРИСТОВ ЧАЛЪКОВ, СЪБИНА СЪБЕВА СЪБЕВА","0889528640, 0879382690, 0896407717, 061182300, 0887805378"
"СБР – НАЦИОНАЛЕН КОМПЛЕКС ЕАД филиал гр. Кюстендил","Кюстендил","КЮСТЕНДИЛ","ГР.КЮСТЕНДИЛ","ул. Цар Симеон І-ви 28","ЖИВКО ИВАНОВ НЕДЕЛЧЕВ","078/550920"
"СБР-Витус ЕООД","Пловдив","ХИСАРЯ","ГР.ХИСАРЯ","ул.Ал.Стамболийски № 21","Д-Р ЧЕНКО ХРИСТОВ ЧАЛЪКОВ","0887305586"
"СБР-НК ЕАД","Пловдив","КАРЛОВО","ГР.БАНЯ","ул.„Липите“ № 1","БОЖАНКА ТОДОРОВА ИВАНОВА, СОНЯ НИКОЛОВА ЧАЛЪКОВА, НЕДЯЛКА ИЛИЕВА КАЛЕВА, ЕВГЕНИ ГЕОРГИЕВ ЛЮБЕНОВ","03132/2204, 03132/2234"
"СБР-НК ЕАД филиал Павел Баня","Стара Загора","ПАВЕЛ БАНЯ","ГР.ПАВЕЛ БАНЯ","бул. ""Освобождение"" №2","Д-Р ЙОРДАН ГЕОРГИЕВ ГЕЧЕВ, КРЪСТАНА ВАСИЛЕВА ПЕТРОВА-ПРАМАТАРОВА","0876904891, 04361/3133, 04361/2146"
"СБРПЛ-Петрич ЕООД","Благоевград","ПЕТРИЧ","ГР.ПЕТРИЧ","УЛ. СТАДИОНСКА №1","РУМЕН БОРИСОВ КОНДЕВ, ИЛИЯ АСЕНОВ ПОПНИКОЛОВ","0878/104141"
"СГЕБАЛ Еврохоспитал ООД Пловдив","Пловдив","ПЛОВДИВ","ГР.ПЛОВДИВ","ул.“Колхида” – продължение, МТБ, бл""Ж"" ет.1","ВАСИЛ ВАСИЛЕВ АНГЕЛОВ, Д-Р ПЕЙО АЛЕКСАНДРОВ ТУХЧИЕВ, ГЕОРГИ ЮРИЕВ ТОШЕВ, ВЕНЦЕСЛАВ ГЕОРГИЕВ ДЖУРКОВ","032/676367, 032/674142"
"СОБАЛ - доц. Георгиев ЕООД Варна","Варна","ВАРНА","ГР.ВАРНА","ул. „Христо Попович” № 18","ПРОФ. Д-Р ТИХОМИР ДОБРИНОВ ГЕОРГИЕВ, ДОЦ. Д-Р ДОБРИН СВЕТОЗАРОВ ГЕОРГИЕВ, Д-Р ДОБРИН ДОБРИНОВ ГЕОРГИЕВ","052/608506"
"СОБАЛ АКАД. ПАШЕВ EООД СОФИЯ","София (столица)","СОФИЯ 06 рн ПОДУЯНЕ","СОФИЯ 06 рн ПОДУЯНЕ","ул. „Емануил Васкидович” № 51","Д-Р ДАНИЕЛА ПЕТРОВА МИРКОВСКА, АКАД. Д-Р ПЕТЯ ИВАНОВА ВАСИЛЕВА","9487901, 9487931"
"СОБАЛ ВИЖЪН ЕООД","София (столица)","СОФИЯ 02 рн КРАСНО СЕЛО","СОФИЯ 02 рн КРАСНО СЕЛО","ул. Виктор Григорович № 8, район Искър, бул.Проф.Цветан Лазаров №86","ЕЛЕНА НЕЙЧЕВА КУМБИЕВА, Д-Р ЕЛЕНА АТАНАСОВА ДАРДЖИКОВА И ЕЛЕНА НЕЙЧЕВА КУМБИЕВА - ЗАЕДНО","9515037"
"СОБАЛ ВИЗУС ЕООД СОФИЯ","София (столица)","СОФИЯ 17 рн ВИТОША","СОФИЯ 17 рн ВИТОША","ул. Миле Попйорданов № 18","ВИОЛЕТА СИЛВИ ЧЕРНОДРИНСКА, Д-Р ГЕНОВЕВА ИВАНОВА АЛЕКСИЕВА, ДОЦ.Д-Р ВИОЛЕТА СИЛВИ ЧЕРНОДРИНСКА","8576936, 8576937"
"СОБАЛ Луксор ООД Пловдив","Пловдив","ПЛОВДИВ","ГР.ПЛОВДИВ","бул. България №59","Д-Р ДИМИТЪР ГЕОРГИЕВ ТАСКОВ, МАРИЯ ГЕОРГИЕВА МИХАЙЛОВА, ИСКРА ГЕОРГИЕВА ШИШКОВА","032/968881, 032/968882"
"СОБАЛ ПЕНТАГРАМ ЕООД СОФИЯ","София (столица)","СОФИЯ 03 рн ВЪЗРАЖДАНЕ; СОФИЯ 12 рн ИЛИНДЕН","СОФИЯ 03 рн ВЪЗРАЖДАНЕ; СОФИЯ 12 рн ИЛИНДЕН","ГР. СОФИЯ, УЛ. ""ДИМИТЪР ПЕТКОВ"" № 11; ул. Враня № 109-111, секция “Б”","Д-Р ВЕСЕЛИН ТОДОРОВ ДАСКАЛОВ","02/4472040, 0887777465"
"СОБАЛ Ралчовски ЕООД Враца","Враца","ВРАЦА","ГР.ВРАЦА","бул. ""Демокрация"" №14, ет.2; ул. ""Вежен"" № 2А","ПЕТЪР НИКОЛОВ НИКОЛОВ","092/621102, 0888/889757"
"СПЕЦИАЛИЗИРАНА БОЛНИЦА ЗА ПРОДЪЛЖИТЕЛНО ЛЕЧЕНИЕ И РЕХАБИЛИТАЦИЯ ПО ВЪТРЕШНИ БОЛЕСТИ – МЕЗДРА” ЕООД","Враца","МЕЗДРА","ГР.МЕЗДРА","ул.""Манастирище""№100","ТЕОДОРА ИЛИЯНОВА ГЛАДНИШКА, Д-Р ГЕНОВЕВА ТОДОРОВА ТОДОРОВА-МОНКОВА, Д-Р ВЛАДИСЛАВ ХРИСТОВ ИВАНОВ, ВАЛЯ МИТОВА ВАСИЛОВСКА","0877605562"
"СПЕЦИАЛИЗИРАНА БОЛНИЦА ЗА ПРОДЪЛЖИТЕЛНО ЛЕЧЕНИЕ НА БЕЛОДРОБНИ БОЛЕСТИ - РОМАН” ЕООД","Враца","РОМАН","ГР.РОМАН","ул. ""Димитър Благоев"" №2","ВЛАДИМИР БОРИСОВ НЕНОВ, Д-Р МОМЧИЛ НИКОЛАЕВ МИТЕВ, ПЕПА АТАНАСОВА ВЛАДИМИРОВА","09123/2206, 0886/201388"
"СХБАЛ Амброаз Паре ООД","Сливен","СЛИВЕН","ГР.СЛИВЕН","кв. Даме Груев, бул. Хаджи Димитър №68","Д-Р НИКОЛАЙ КОНСТАНТИНОВ КОНСУЛОВ, Д-Р ВЕСЕЛИН ПАСКОВ ВАСИЛЕВ","044/662524, 044/662668"
"СХБАЛ проф. Темелков ООД Варна","Варна","ВАРНА","ГР.ВАРНА","ул. „Алеко Константинов” № 5","МАРИЯ ТЕМЕЛКОВА ЙОРДАНОВА, ПРОФ. Д-Р ТЕМЕЛЕКО ДОБРОЛЮБОВ ТЕМЕЛКОВ","052/600126, 052/600127"
"Специализирана Болница за Активно Лечение на Очни Болести ПРОСПЕРИТАС""ООД","София (столица)","СОФИЯ 10 рн ТРИАДИЦА","СОФИЯ 10 рн ТРИАДИЦА","кв. „Триадица“, ул. „Неофит Рилски“ № 7","ВЕСЕЛИН ИВАНОВ ТАНЕВ",""
"Специализирана болница за активно лечение на пневмо-фтизиатрични заболявания ""Д-р Трейман"" ЕООД","Велико Търново","ВЕЛИКО ТЪРНОВО","ГР.ВЕЛИКО ТЪРНОВО","местност ""Света гора""","СТЕЛА ДЕНЧЕВА СТЕФАНОВА, Д-Р ДРАГАНЧЕВ, МАРГАРИТА ЛЮБОМИРОВА ТАСЕВА, Д-Р МАРИЯ ИВАНОВА РАЧЕВА","0879976606, 062619766, 0888550338"
"Специализирана болница за рехабилитация - Бургаски минерални бани ЕАД","Бургас","БУРГАС","ГР.БУРГАС","ул. ""Ал. Стамболийски"" №66","ПЕТЯ ГЕОРГИЕВА ТОДОРОВА, КИРИЛ МЛАДЕНОВ МЛАДЕНОВ","056/552378, 0894/602400"
"УМБАЛ ЕВРОХОСПИТАЛ ПЛОВДИВ ООД","Пловдив","ПЛОВДИВ","ГР.ПЛОВДИВ","бул. „Коматевско шосе“ №79","ВЕНЦЕСЛАВ ДЖУРКОВ, ДИМИТЪР ИВАНОВ ДИМИТРОВ, МАРИЯ ХРИСТОСКОВА ГОРЕВА","032/676367, 0888/233403"
"УМБАЛ АЛЕКСАНДРОВСКА ЕАД СОФИЯ","София (столица)","СОФИЯ 10 рн ТРИАДИЦА","СОФИЯ 10 рн ТРИАДИЦА","ул. ""Св. Георги Софийски"" № 1","АСЕН АТАНАСОВ ЗЛАТЕВ, ПРОФ.Д-Р ЛЪЧЕЗАР ДИНКОВ ТРАЙКОВ, ДОЦ. Д-Р КОСТАДИН ГЕОРГИЕВ АНГЕЛОВ, ДМ, ПРОФ.Д-Р БОРИС ИЛИЕВ БОГОВ, ДОЦ. Д-Р ДИМИТЪР ИВАНОВ БУЛАНОВ, АТАНАС ГЕОРГИЕВ АТАНАСОВ, ПРОФ. Д-Р АТАНАС СТЕФАНОВ ЙОНКОВ","92030810, 9230646"
"УМБАЛ КАНЕВ АД","Русе","РУСЕ","ГР.РУСЕ","ул. Независимост 2","ИВАН СТЕФАНОВ ИВАНОВ, МИНЧО ИЛИЕВ ВИЧЕВ, АНТОАНЕЛА СЛАВЧЕВА ПЕТРОВА-ГАНЧЕВА, НЕЛИ СТЕФАНОВА ПЕТРОВА, ВЛАДИН ИВАНОВ ПЕТРОВ, ИВАН ХРИСТОВ СТОЯНОВ, АЛЕКСАНДЪР БОРИСОВ ПАРАШКЕВОВ","082/887215, 082/821011, 082/887351, 082/887223"
"УМБАЛ Каспела ЕООД Пловдив","Пловдив","ПЛОВДИВ","ГР.ПЛОВДИВ","ул.”София” № 64 и 66","Д-Р СТАНИСЛАВ ИВАНОВ ВЪЛКАНОВ, АНТОН ДИМИТРОВ ТОНЕВ, ИЛИАН ЙОРДАНОВ ДОЙКОВ","032645997"
"УМБАЛ МЕДИКА РУСЕ ООД","Русе","РУСЕ","ГР.РУСЕ","Рига №35","ИВЕЛИН ЦАНКОВ ЙОЦОВ","0885304040"
"УМБАЛ Пловдив АД","Пловдив","ПЛОВДИВ","ГР.ПЛОВДИВ","бул. България № 234","Д-Р ДИНЧО ГЕНЕВ ГЕНЕВ, ИЛИЯНА ЗАПРЯНОВА ВЪЛКАНОВА, ГЕОРГИ ЙОРДАНОВ ЙОРДАНОВ, АРГИР ВАСИЛЕВ АРГИРОВ, ИВО ПЕТРОВ МИЛЬОТЕВ","032/959221, 032/962012"
"УМБАЛ Проф. д-р Стоян Киркович АД гр. Стара Загора","Стара Загора","СТАРА ЗАГОРА","ГР.СТАРА ЗАГОРА","ул. ""Ген. Столетов"" № 2","ПРОФ. Д-Р ЙОВЧО ПЕТКОВ ЙОВЧЕВ, Д.М., ПЕТЪР АТАНАСОВ АТАНАСОВ, ПЕТРАНКА ИЛИЕВА ЧАКЪРОВА, ДОЦ. Д-Р ЙОВЧО ПЕТКОВ ЙОВЧЕВ","042/623750, 042/601125"
"УМБАЛ Пълмед ООД","Пловдив","ПЛОВДИВ","ГР.ПЛОВДИВ","р-н Западен ул. ПЕРУЩИЦА № 1А","СТОИЛ ГЕОРГИЕВ АПОСТОЛОВ, ЙОРДАН ЛЮБЕНОВ ПЕЛЕВ, ИВАН ЯНЧЕВ МАДЖАРОВ, Д-Р ЙОРДАН ЛЮБЕНОВ ПЕЛЕВ","032/607300"
"УМБАЛ СВ. ИВАН РИЛСКИ ЕАД СОФИЯ","София (столица)","СОФИЯ 10 рн ТРИАДИЦА","СОФИЯ 10 рн ТРИАДИЦА","р-н Триадица бул. ""Акад. Ив. Гешов"" № 15","НИКОЛАЙ РУМЕНОВ СТОИЛОВ, Д-Р РУМЕН МАЛИНОВ СТОИЛОВ, Д-Р ДЕЧО ПЕТРОВ ДЕЧЕВ, МАРИЕТА РАЙКОВА ЙОТИНСКА, Д-Р АНТОН ПЕТКОВ ПЕТКОВ","9521532, 9522018"
"УМБАЛ СВЕТА МАРИНА ЕАД гр. Варна","Варна","ВАРНА","ГР.ВАРНА","бул. ""Цар Освободител"" № 100; к.к ""Св. Св. Константин и Елена"", хотел ""Естрея Резиденс""; бул. ”Христо Смирненски” №1","ПРОФ. Д-Р СИЛВА ПЕТЕВА АНДОНОВА-АТАНАСОВА Д.М.Н., ПРОФ. Д-Р КРАСИМИР ДИМИТРОВ ИВАНОВ Д.М.Н., ПРОФ. Д-Р ЖАНЕТА ГЕОРГИЕВА ТЯНЕВА, Д.М.Н., ПРОФ. Д-Р ВАЛЕНТИН ЛЮБОМИРОВ ИГНАТОВ Д.М.","052302875, 052/302874"
"УМБАЛ СОФИЯМЕД ООД","София (столица)","СОФИЯ 08 рн ИЗГРЕВ; СОФИЯ 15 рн МЛАДОСТ","СОФИЯ 08 рн ИЗГРЕВ; СОФИЯ 15 рн МЛАДОСТ","бул.”Г.М.Димитров” №16; ул. ""Димитър Моллов"" № 10, бул. „Джавахарлал Неру“ № 23 и ул. „Ганчо Ганчев“ № 1","Д-Р ЙОРДАН ЛЮБЕНОВ ПЕЛЕВ, Д-Р БОЙКО МАРИНОВ ПЕНКОВ, Д-Р МИХАИЛ КИРИЛОВ ЗОРТЕВ, Д-Р ЕВГЕНИЙ ЖЕЛЕВ ЖЕЛЕВ","0893333399"
"УМБАЛ Свети Георги ЕАД Пловдив","Пловдив","ПЛОВДИВ","ГР.ПЛОВДИВ","бул. ""Васил Априлов"" №15 А; бул. ""Пещерско шосе"" №66","ПРОФ. Д-Р КАРЕН БРИЯНОВ ДЖАМБАЗОВ, ДМ, ДИМИТЪР ИВАНОВ ВУЧЕВ, МАРИЯ ГЕОРГИЕВА СЛАВОВА, ИЛИЯ АТАНАСОВ БАТАШКИ, МАРИАНА ТЕРВЕЛОВА МАНОВА, ПЕНКА АТАНАСОВА АТАНАСОВА, БОЖИДАР ДИМИТРОВ ХАДЖИЕВ, ДЕНКА ИВАНОВА КОСТОВА, АЛБЕНА ГЕОРГИЕВА ДЖУРКОВА","032/602814, 032/602974"
"УМБАЛ ЦАРИЦА ЙОАННА-ИСУЛ ЕАД СОФИЯ","София (столица)","СОФИЯ 04 рн ОБОРИЩЕ","СОФИЯ 04 рн ОБОРИЩЕ","ул. ""Бяло море"" № 8","ЛЮБОМИР ЛЮБЧОВ ПЕНЕВ, БОЙКО ГЕОРГИЕВ КОРУКОВ, ДОЦ. Д-Р ГРИГОРИЙ ИВАНОВ НЕДЕЛКОВ","9432121"
"УМБАЛ „СВЕТА ЕКАТЕРИНА“ ЕАД","София (столица)","СОФИЯ 10 рн ТРИАДИЦА; СОФИЯ 12 рн ИЛИНДЕН","СОФИЯ 10 рн ТРИАДИЦА; СОФИЯ 12 рн ИЛИНДЕН","р-н Триадица бул. ""Пенчо Славейков"" № 52 А; ул. Коньовица № 65","ДИМИТЪР ГЕОРГИЕВ ПЕТКОВ, ПРОФ. Д-Р ГЕНЧО КРЪСТЕВ НАЧЕВ, НИКОЛАЙ ГРИГОРОВ ДИМИТРОВ, ВАЛЕНТИН СТЕФАНОВ ГОВЕДАРСКИ","070012131, 029059404"
"УМБАЛ-Д-Р ГЕОРГИ СТРАНСКИ ЕАД","Плевен","ПЛЕВЕН","ГР.ПЛЕВЕН","ул. ""Георги Кочев"" № 8А; ул. ""Св. Св. Кирил и Методий"" № 20; бул. ""Русе"" № 89; ул. ""Сан Стефано"" № 45; ж.к. ""Сторгозия"" 113; ул. ""Климент Охридски"" № 1; ул. ""Ген. Вл. Вазов"" № 91","АЛЕКСАНДЪР ВЪЛКОВ ВЪЛКОВ, ВАСИЛ ВЕЛИЧКОВ ТОДОРОВ, ДИМИТЪР ЖИВКОВ СТОЙКОВ, НАТАША ПЕТРОВА МАНЕВА, ЦВЕТАН ХРИСТОФОРОВ ЛУКАНОВ","064/886444, 064/804212"
"УМБАЛСМ Н.И. ПИРОГОВ ЕАД СОФИЯ","София (столица)","СОФИЯ 02 рн КРАСНО СЕЛО","СОФИЯ 02 рн КРАСНО СЕЛО","р-н Красно село бул. ""Тотлебен"" № 21","ВАЛЕНТИН ДИМИТРОВ ДИМИТРОВ, Д-Р СПАС НИКОЛОВ СПАСКОВ, ПРОФ.Д-Р ДИМИТЪР РАДКОВ РАДЕНОВСКИ, ДОЦ. Д-Р СТОЯН ГЕОРГИЕВ МИЛАНОВ, ПРОФ.Д-Р АСЕН ГЕОРГИЕВ БАЛТОВ, ИВАН ГЕОРГИЕВ ПОРОМАНСКИ","02/9154290"
"УНИВЕРСИТЕТСКА І МБАЛ СОФИЯ СВ. ЙОАН КРЪСТИТЕЛ ЕАД","София (столица)","СОФИЯ 01 рн СРЕДЕЦ","СОФИЯ 01 рн СРЕДЕЦ","р-н ""Средец"", бул. ""Патриарх Евтимий"" № 37","АННА МИЛЧЕВА ЛЕЧЕВА, Д-Р МИХАИЛ НЕНОВ НИКОЛОВСКИ, ПРОФ. Д-Р ЦВЕТОМИР ИВАНОВ ДИМИТРОВ","8059203"
"УСБАЛАГ СЕЛЕНА ЕООД","Пловдив","ПЛОВДИВ","ГР.ПЛОВДИВ","бул.”Пещерско шосе” №80","АТАНАС ДИМЧЕВ ВЛАХОВ, ЗДРАВКО АТАНАСОВ МИНЕВ, ГЕОРГИ КОСТАДИНОВ ГЕОРГИЕВ, РУМЕН КИРИЛОВ СИМЕОНОВ","032/648020"
"УСБАЛЕ АКАД.ИВАН ПЕНЧЕВ ЕАД СОФИЯ","София (столица)","СОФИЯ 10 рн ТРИАДИЦА","СОФИЯ 10 рн ТРИАДИЦА","ул. ""Здраве"" № 2","МАРИЯ МИТКОВА ОРБЕЦОВА, ПРОФ. Д-Р САБИНА ЗАХАРИЕВА ЗАХАРИЕВА","8181500"
"УСБАЛО ПРОФ. БОЙЧО БОЙЧЕВ ЕАД СОФИЯ","София (столица)","СОФИЯ 18 рн ОВЧА КУПЕЛ","СОФИЯ 18 рн ОВЧА КУПЕЛ","бул. Никола Петков № 56","ВАЛЕНТИН НИКОЛОВ АНГЕЛОВ, ЕВГЕНИЙ ЛЮЦКАНОВ МЕДНИКАРОВ, Д-Р БОЯН БОЯНОВ ХРИСТОВ","8181500"
"УСБАЛО Проф. Иван Черноземски''ЕАД СОФИЯ","София (столица)","СОФИЯ 16 рн СТУДЕНТСКИ","СОФИЯ 16 рн СТУДЕНТСКИ","ул. Пловдивско поле № 6","ДОЦ. Д-Р ДИМИТЪР ВЪЛЧИНОВ ДИМИТРОВ, Д.М., СТРАШИМИР ИВАНОВ КАРАНОВ, ДОЦ. Д-Р ЗДРАВКА ГЪРДЕВА ВАСИЛЕВА-ВАЛЕРИАНОВА, Д-Р ПЕТРАНКА ПЕТРОВА КЪНЕВА-ТРОЯНОВА, Д-Р МИХАИЛ ИВАНОВ ШИНДОВ, Д-Р ВАЛЕНТИН НИКОЛОВ АНГЕЛОВ, ПРОФ. Д-Р ПАНАЙОТ ФОТЕВ КУРТЕВ, Д-Р СТЕФАН КОНСТАНТИНОВ КОНСТАНТИНОВ, ПАНАЙОТ ФОТЕВ КУРТЕВ, ВЛАДИМИР ВАСЕВ ДАСКАЛОВ","8076299"
"УСБОБАЛ-Варна ЕООД","Варна","ВАРНА","ГР.ВАРНА","ул. „Дойран” № 15","ПРОФ. Д-Р ЗОРНИЦА ИВАНОВА ЗЛАТАРОВА-АНГЕЛОВА, ДМН, Д-Р РУСЛАН ЗДРАВКОВ ТОШЕВ Д.М., ПРОФ. Д-Р ХРИСТИНА НИКОЛOВА ГРУПЧЕВА, ДМН","052634096, 052634901"
"Фърст Диализис - Пазарджик","Пазарджик","ПАЗАРДЖИК","ГР.ПАЗАРДЖИК","ул. Цар Шишман №9","ВАЛЕРИ ДИМИТРОВ ЦЕКОВ","034/986593"
"ЦЕНТЪР ЗА КОЖНО - ВЕНЕРИЧЕСКИ ЗАБОЛЯВАНИЯ - Враца ЕООД","Враца","ВРАЦА","ГР.ВРАЦА","бул. ""Втори юни"" №68; бул. ""Втори Юни"" № 66","ИВО ВАСИЛЕВ НИКОЛОВ, Д-Р ГРИГОР ТОМОВ ГРИГОРОВ, Д-Р МАГДАЛЕНА ЦВЕТАНОВА ПЕТКОВА, СНЕЖА ПЕТРОВА АЛЕКСАНДРОВА, Д-Р КЕТИ ДИТКОВА ЦЕНОВА - СРЕДКОВА","0879887377, 092/665465, 092/665571, 092/624040, 0883256364"
"ЦКВЗ Пловдив ЕООД","Пловдив","ПЛОВДИВ","ГР.ПЛОВДИВ","р-н „Южен“, ул. „Даме Груев“ № 1а","Д-Р БОЯН БРАНКОВ КОСТОВ, ЕЛЕНА ДИМИТРОВА ДЯКОВА, СТОЯН ДИМИТРОВ ШУМАНОВ","032606535"
"ЦПЗ ПРОФ Н ШИПКОВЕНСКИ ЕООД","София (столица)","СОФИЯ 04 рн ОБОРИЩЕ","СОФИЯ 04 рн ОБОРИЩЕ","Р-Н ""ОБОРИЩЕ"", УЛ. ""ЕКЗАРХ ЙОСИФ"" № 59","АНА ДИМИТРОВА ПОПОВА-ВЪРБАНОВА, ГЪЛЪБИНА ПЕТРОВА ТАРАШОЕВА","9816061, 9818166"
"ЧАСТЕН ДИАЛИЗЕН ЦЕНТЪР ВТ ЕООД","Велико Търново","ВЕЛИКО ТЪРНОВО","ГР.ВЕЛИКО ТЪРНОВО","ул. ""Ален мак"" №13","ВАЛЕНТИНА АНГЕЛОВА АТАНАСОВА","0888320584"
"ЮЗБ","Благоевград","ПЕТРИЧ; САНДАНСКИ","ГР.ПЕТРИЧ; ГР.САНДАНСКИ","УЛ. РОКФЕЛЕР № 52; ПАРКОВА ЗОНА; УЛ. СВОБОДА № 1, ЕТ. 3","ИЛИЯ СТОЯНОВ ТОНЕВ","074/201016, 074/201047"
"“СПЕЦИАЛИЗИРАНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ ПО КАРДИОЛОГИЯ” ЕАД","Плевен","ПЛЕВЕН","ГР.ПЛЕВЕН","ул. ""Ген. Вл. Вазов"" 91-II кл. база; ул. ""Пиер Кюри"" №2","ДАНИЕЛА ДИМИТРОВА МАКАВЕЕВА, МЛАДЕН ВЛАДИМИРОВ ГРИГОРОВ, СОТИР ТОДОРОВ МАРЧЕВ, Д-Р ВАЛЕНТИН ВЕНЦИСЛАВОВ ХРИСТОВ, ПРОФ.Д-Р НИКОЛАЙ ГРИГОРОВ ДИМИТРОВ","064/804480, 064/884480"
"„ДИАЛИЗЕН ЦЕНТЪР – ДРУЖБА“ ООД","София (столица)","СОФИЯ 14 рн ИСКЪР","СОФИЯ 14 рн ИСКЪР","Гр. София, ул. ""Искърско шосе"" № 19","Д-Р НИКОЛАЙ ГЕОРГИЕВ ТОДОРОВ",""